Year,Artist,Title,Lyrics,Album,
1989,Tom Petty,A Face in the Crowd,"Before all of this ever went down
In another place, another town
You were just a face in the crowd
You were just a face in the crowd
Out in the street walking around
A face in the crowd
Out of a dream, out of the sky
Into my heart, into my life
And you were just a face in the crowd
You were just a face in the crowd
Out in the street, thinking out loud
A face in the crowd
Out of a dream, out of the sky
Into my heart, into my life
And you were just a face in the crowd
You were just a face in the crowd
Out in the street, walking around
A face in the crowd
Face in the crowd
A face in the crowd
A face in the crowd",Full Moon Fever ,
1989,Tom Petty,Alright for Now,"Goodnight baby, sleep tight my love
May God watch over you from above
Tomorrow I'm workin' what would I do
I'd be lost and lonely if not for you
So close your eyes
We're alright for now
I've spent my life travelin'
Spent my life free
I could not repay all you've done for me
So sleep tight baby
Unfurrow your brow
And know I love you
We're alright for now
We're alright for now",Full Moon Fever ,
1989,Tom Petty,I Won't Back Down,"Well, I won't back down
No, I won't back down
You can stand me up at the gates of hell
But I won't back down
No, I'll stand my ground
Won't be turned around
And I'll keep this world from draggin' me down
Gonna stand my ground
And I won't back down
(I won't back down)
Hey, baby, there ain't no easy way out
(I won't back down)
Hey, I will stand my ground
And I won't back down
Well I know what's right
I got just one life
In a world that keeps on pushin' me around
But I'll stand my ground
And I won't back down
(I won't back down)
Hey, baby, there ain't no easy way out
(I won't back down)
Hey, I will stand my ground
And I won't back down
Hey baby, there ain't no easy way out
(I won't back down)
Hey, I won't back down
(I won't back down)
Hey, baby, there ain't no easy way out
(I won't back down)
Hey, I will stand my ground
And I won't back down
No, I won't back down",Full Moon Fever ,
1989,Tom Petty,Free Fallin',"She's a good girl, loves her mama
Loves Jesus and America, too
She's a good girl, crazy 'bout Elvis
Loves horses and her boyfriend, too
And it's a long day livin' in Reseda
There's a freeway runnin' through the yard
And I'm a bad boy, 'cause I don't even miss her
I'm a bad boy for breakin' her heart
And I'm free, free fallin'
Yeah I'm free, free fallin'
All the vampires walkin' through the valley
Move west down Ventura Boulevard
And all the bad boys are standing in the shadows
And the good girls are home with broken hearts
And I'm free, free fallin'
Yeah I'm free, free fallin'
Free fallin', now I'm free fallin'
Now I'm
Free fallin', now I'm free fallin'
I wanna glide down over Mulholland
I wanna write her name in the sky
I'm gonna free fall out into nothin'
Gonna leave this world for a while
And I'm free (free fallin', now I'm free fallin')
Free fallin' (free fallin', now I'm free fallin')
Yeah I'm free (free fallin', now I'm free fallin')
Free fallin' (free fallin', now I'm free fallin')
(Now I'm)
Yeah, I'm free, free fallin'
Oh! Free fallin'
Now I'm free fallin'
Free fallin'
(Free fallin', now I'm free fallin')
And I'm free
(Free fallin', now I'm free fallin')
Oh, free fallin'
(Free fallin', now I'm free fallin')",Full Moon Fever ,
1989,Tom Petty,Love Is a Long Road,"There was a girl I knew
She said she cared about me
She tried to make my world
The way she thought it should be

Yeah, we were desperate then
To have each other to hold
But love is a long, long road
Yeah, love is a long, long road

There were so many times
I would wake up at noon
Yeah, with my head spinning 'round
I would wait for the moon

And give her one more chance
To try and save my soul
But love is a long, long road
Yeah, love is a long, long road

Yeah, it was hard to give up
Some things are hard to let go
Some things are never enough
I guess I only can hope
For maybe one more chance
To try and save my soul
But love is a long, long road
Yeah, love is long, long road

Love is a long, long road
Yeah, love is long, long road, oh

(Love)
Oh, it's a long, long road
(Love)",Full Moon Fever ,
1989,Tom Petty,Runnin' Down a Dream,"It was a beautiful day, the sun beat down
I had the radio on, I was drivin'
Trees went by, me and Del were singin'
Little Runaway
I was flyin'

Yeah, runnin' down a dream
That never would come to me
Workin' on a mystery, goin' wherever it leads
Runnin' down a dream

I felt so good, like anything was possible
Hit cruise control and rubbed my eyes
The last three days the rain was unstoppable
It was always cold, no sunshine

Yeah, runnin' down a dream
That never would come to me
Workin' on a mystery, goin' wherever it leads
Runnin' down a dream

I rolled on, the sky grew dark
I put the pedal down to make some time
There's something good waitin' down this road
I'm pickin' up whatever's mine

I'm runnin' down a dream
That never would come to me
Workin' on a mystery, goin' wherever it leads
Runnin' down a dream
Yeah, I'm runnin' down a dream
That never would come to me
Workin' on a mystery, goin' wherever it leads
I'm runnin' down a dream",Full Moon Fever ,
1989,Tom Petty,A Mind with a Heart of Its Own,"I remember her standing in the tall grass and cattails
Away from the windows at the end of the day
Watch the men from the landing
With tall hats and coat-tails
She'd never look different
But something would change
A mind, with a heart of its own
A mind, with a heart of its own
Do, do, do, do, do, do
Yeah a mind with a heart of its own
Well the man out to end us had a hurricane business
He'd raise them from babies all by himself
But his teen-age accountant had become surrounded
He drank up the party and everyone left
A mind, with a heart of its own
A mind, with a heart of its own
Do, do, do, do, do, do
Yeah a mind with a heart of its own
Well I been to Brooker and I been to Micanopy
I been to St. Louis too, I been all around the world
I've been over to your house
And you've been over sometimes to my house
I've slept in your tree house
My middle name is Earl
A mind, with a heart of its own
A mind, with a heart of its own
Do, do, do, do, do, do
Yeah a mind with a heart of its own
A mind, with a heart of its own
A mind, with a heart of its own
Do, do, do, do, do, do
Yeah a mind with a heart of its own
Yeah
Oh yeah",Full Moon Fever ,
1989,Tom Petty,Yer So Bad,"My sister got lucky, married a yuppie
Took him for all he was worth
Now she's a swinger dating a singer
I can't decide which is worse

But not me baby, I've got you to save me
Oh yer so bad, best thing I ever had
In a world gone mad, yer so bad

My sister's ex-husband can't get no lovin'
Walks around dog-faced and hurt
Now he's got nothin', head in the oven
I can't decide which is worse

But not me baby, I've got you to save me
Oh yer so bad, best thing I ever had
In a world gone mad, yer so bad

Ah but not me baby, I've got you to save me
Oh yer so bad, best thing I ever had
In a world gone mad, yer so bad

Oh yer so bad, best thing I ever had
In a world gone mad, yer so bad",Full Moon Fever ,
1989,Tom Petty,Depending on You,"I ain't ever gonna let you down
All you got to do is trust me
I would never make you some clown
Baby, why won't you trust me?

You give up so easily
I don't know why you can't see
I'm depending on you
Don't let me down
I'm depending on you

Baby, if you can't change the world
Maybe you should just change yourself
You used to be such a sweet young girl
Why you wanna be someone else?

You give up so easily
I don't know why you can't see
I'm depending on you
Is it too late now?
I'm depending on you

You give up so easily
I don't know why you can't see
I'm depending on you
Don't let me down
I'm depending on you


Yea I'm depending on you
Is it too late now?
I'm depending on you

I'm depending on you
I'm depending on you
Is it too late now?
I'm depending on you",Full Moon Fever ,
1989,Tom Petty,The Apartment Song,"I used to live in a two-room apartment
Neighbors knocking on my wall
Times were hard, I don't want to knock it
I don't miss it much at all
Oh yeah, I'm alright, I just feel a
Little lonely tonight
I'm okay, most of the time
I just feel a little lonely tonight
Well I used to need your love so badly
Then I came to live with it
Lately I get a faraway feeling
And the whole thing starts again
Oh yeah, I'm alright, I just feel a
Little lonely tonight
I'm okay, most of the time
I just feel a little lonely tonight
Well I used to need your love so badly
Then I came to live with it
Lately I get a faraway feeling
And the whole thing starts again
Oh yeah I'm alright I just feel a
Little lonely tonight
Listen, I'm okay, most of the time
I just feel a little lonely tonight
Oh yeah I'm alright I just feel a
Little lonely tonight
Listen, I'm okay, most of the time
I just feel a little lonely tonight
I'm lonely tonight, I'm lonely tonight, I'm lonely tonight",Full Moon Fever ,
